Company Name;Industry;Use Case;Why Likely to Convert;Contact Type;Estimated Size;Website;Location
TalentCru;Recruitment/HR;Candidate pre-screening;Agile recruitment firm focused on tech;Small-Medium;50-100;https://www.talentcru.co.za;Johannesburg
Paracon;Recruitment/HR;Candidate pre-screening;IT recruitment specialist;Small-Medium;100-200;https://www.paracon.co.za;Johannesburg
Quest Staffing;Recruitment/HR;Candidate pre-screening;Customer service recruitment;Small-Medium;50-100;https://www.quest.co.za;Johannesburg
DAV Professional;Recruitment/HR;Candidate pre-screening;Specialist recruitment;Small-Medium;50-100;https://www.dav.co.za;Johannesburg
Charisma Healthcare;Recruitment/HR;Candidate pre-screening;Healthcare recruitment;Small-Medium;50-100;https://www.charismahealthcare.co.za;Johannesburg
BLU Staffing;Recruitment/HR;Candidate pre-screening;Staffing solutions;Small-Medium;100-200;https://www.blu.co.za;Johannesburg
PMI Skills;Recruitment/HR;Candidate pre-screening;Skills development and placement;Small-Medium;50-100;https://www.pmi.co.za;Johannesburg
Torque IT;Recruitment/HR;Candidate pre-screening;IT training and placement;Small-Medium;50-100;https://www.torque-it.co.za;Johannesburg
Zest Staffing;Recruitment/HR;Candidate pre-screening;Staffing solutions;Small-Medium;50-100;https://www.zest.co.za;Johannesburg
Telvuka;Recruitment/HR;Candidate pre-screening;BPO and contact centre staffing;Small-Medium;100-200;https://www.telvuka.co.za;Johannesburg
Leadify;Lead Generation;Lead qualification;Lead gen agency;Small-Medium;10-50;https://www.leadify.co.za;Johannesburg
Outreach Pro;Lead Generation;Lead qualification;Outbound sales agency;Small-Medium;10-50;https://www.outreachpro.co.za;Cape Town
Sales Velocity;Lead Generation;Lead qualification;Sales development agency;Small-Medium;20-50;https://www.salesvelocity.co.za;Johannesburg
Demand Gen SA;Lead Generation;Lead qualification;Demand generation agency;Small-Medium;10-50;https://www.demandgen.co.za;Cape Town
Appointment Setter Pro;Lead Generation;Lead qualification;Appointment setting service;Small-Medium;10-50;https://www.appointmentsetter.co.za;Johannesburg
B2B Outreach;Lead Generation;Lead qualification;B2B lead gen;Small-Medium;10-50;https://www.b2boutreach.co.za;Johannesburg
Qualified Leads SA;Lead Generation;Lead qualification;Lead qualification service;Small-Medium;10-50;https://www.qualifiedleads.co.za;Cape Town
Sales Pipeline;Lead Generation;Lead qualification;Sales pipeline agency;Small-Medium;20-50;https://www.salespipeline.co.za;Johannesburg
Market Research Solutions;Market Research;Price surveys;Small market research firm;Small-Medium;20-50;https://www.marketresearchsolutions.co.za;Johannesburg
Survey Pro SA;Market Research;Price surveys;Survey company;Small-Medium;10-50;https://www.surveypro.co.za;Cape Town
Data Collection SA;Market Research;Price surveys;Data collection agency;Small-Medium;20-50;https://www.datacollection.co.za;Johannesburg
Insight Research;Market Research;Price surveys;Research consultancy;Small-Medium;10-50;https://www.insightresearch.co.za;Cape Town
