Company Name;Industry;Use Case;Why Likely to Convert;Contact Type;Estimated Size;Website;Location
Discovery Health;Healthcare/Medical Aid;Provider network verification;Largest medical aid in SA with 2.8M+ members;Enterprise;5000+;https://www.discovery.co.za;Johannesburg
Bonitas Medical Fund;Healthcare/Medical Aid;Provider network verification;Second largest medical aid with 700K+ members;Enterprise;3000+;https://www.bonitas.co.za;Johannesburg
Momentum Health;Healthcare/Medical Aid;Provider network verification;Major medical aid provider;Enterprise;2000+;https://www.momentumhealth.co.za;Pretoria
Fedhealth;Healthcare/Medical Aid;Provider network verification;Medical aid with extensive provider network;Enterprise;1500+;https://www.fedhealth.co.za;Cape Town
Medihelp;Healthcare/Medical Aid;Provider network verification;Medical aid provider;Enterprise;1000+;https://www.medihelp.co.za;Pretoria
Netcare;Healthcare/Medical Aid;Provider network verification;SA's largest private hospital group with 50+ facilities;Enterprise;10000+;https://www.netcare.co.za;Johannesburg
Life Healthcare;Healthcare/Medical Aid;Provider network verification;Major private hospital group with 60+ facilities;Enterprise;8000+;https://www.lifehealthcare.co.za;Johannesburg
Mediclinic;Healthcare/Medical Aid;Provider network verification;Private hospital group with 50+ facilities;Enterprise;6000+;https://www.mediclinic.co.za;Cape Town
GEMS;Healthcare/Medical Aid;Appointment reminders;Government employee medical scheme with 1.9M+ members;Enterprise;5000+;https://www.gems.gov.za;Pretoria
Bestmed;Healthcare/Medical Aid;Appointment reminders;Medical aid provider;Enterprise;800+;https://www.bestmed.co.za;Pretoria
Profmed;Healthcare/Medical Aid;Appointment reminders;Medical aid for professionals;Enterprise;1000+;https://www.profmed.co.za;Johannesburg
Liberty Medical Scheme;Healthcare/Medical Aid;Appointment reminders;Medical aid;Enterprise;800+;https://www.liberty.co.za;Johannesburg
Sizwe Medical Fund;Healthcare/Medical Aid;Appointment reminders;Medical aid;Enterprise;600+;https://www.sizwe.co.za;Johannesburg
Bankmed;Healthcare/Medical Aid;Appointment reminders;Medical aid;Enterprise;500+;https://www.bankmed.co.za;Johannesburg
Adcorp;Recruitment/HR;Candidate pre-screening;SA's largest recruitment company with multiple brands;Enterprise;5000+;https://www.adcorpgroup.com;Johannesburg
Kelly;Recruitment/HR;Candidate pre-screening;Major international recruitment firm;Enterprise;2000+;https://www.kelly.co.za;Johannesburg
ManpowerGroup SA;Recruitment/HR;Candidate pre-screening;Global recruitment leader;Enterprise;1500+;https://www.manpowergroup.co.za;Johannesburg
Michael Page SA;Recruitment/HR;Candidate pre-screening;Executive recruitment;Enterprise;500+;https://www.michaelpage.co.za;Johannesburg
Robert Walters SA;Recruitment/HR;Candidate pre-screening;Professional recruitment;Enterprise;400+;https://www.robertwalters.co.za;Johannesburg
Adecco SA;Recruitment/HR;Candidate pre-screening;Global staffing solutions;Enterprise;1000+;https://www.adecco.co.za;Johannesburg
Pam Golding Properties;Property/Real Estate;Listing verification;SA's largest estate agency with 300+ offices;Enterprise;3000+;https://www.pamgolding.co.za;Cape Town
Seeff Properties;Property/Real Estate;Listing verification;Major estate agency group;Enterprise;2000+;https://www.seeff.com;Johannesburg
RE/MAX SA;Property/Real Estate;Listing verification;International franchise network;Enterprise;1500+;https://www.remax.co.za;Johannesburg
Rawson Properties;Property/Real Estate;Listing verification;Property group;Enterprise;1000+;https://www.rawson.co.za;Cape Town
Chas Everitt;Property/Real Estate;Listing verification;Established estate agency;Enterprise;800+;https://www.chaseveritt.co.za;Johannesburg
Trafalgar Property;Property/Real Estate;Listing verification;Property management;Enterprise;500+;https://www.trafalgar.co.za;Johannesburg
RMA Group;Debt Collection;Payment plan setup;SA's largest debt collection company;Enterprise;2000+;https://www.rmagroup.co.za;Johannesburg
Credit Solutions Services;Debt Collection;Payment plan setup;Major debt collection agency;Enterprise;1500+;https://www.creditsolutions.co.za;Johannesburg
MBD Credit Solutions;Debt Collection;Payment plan setup;Debt collection specialist;Enterprise;1000+;https://www.mbd.co.za;Johannesburg
Integritas Credit Solutions;Debt Collection;Payment plan setup;Debt recovery services;Enterprise;800+;https://www.integritas.co.za;Johannesburg
Mercantile Credit Bureau;Debt Collection;Payment plan setup;Credit management;Enterprise;600+;https://www.mercantile.co.za;Johannesburg
Nielsen SA;Market Research;Price surveys;Global market research leader;Enterprise;500+;https://www.nielsen.com/za;Johannesburg
Kantar SA;Market Research;Price surveys;Market research and insights;Enterprise;400+;https://www.kantar.com;Johannesburg
Ipsos SA;Market Research;Price surveys;Market research company;Enterprise;300+;https://www.ipsos.com/en-za;Johannesburg
TNS SA;Market Research;Price surveys;Market research firm;Enterprise;200+;https://www.tnsglobal.com;Johannesburg
Synovate SA;Market Research;Price surveys;Market research;Enterprise;150+;https://www.synovate.com;Johannesburg
Virgin Active SA;Fitness/Wellness;Appointment reminders;Major gym chain with 100+ clubs;Enterprise;2000+;https://www.virginactive.co.za;Johannesburg
Planet Fitness SA;Fitness/Wellness;Appointment reminders;Gym chain;Enterprise;1000+;https://www.planetfitness.co.za;Johannesburg
Zone Fitness;Fitness/Wellness;Appointment reminders;Gym chain;Enterprise;800+;https://www.zonefitness.co.za;Johannesburg
Curves SA;Fitness/Wellness;Appointment reminders;Women's fitness chain;Enterprise;500+;https://www.curves.co.za;Johannesburg
Fitness First SA;Fitness/Wellness;Appointment reminders;Gym chain;Enterprise;400+;https://www.fitnessfirst.co.za;Johannesburg
Discovery Vitality;Healthcare/Wellness;Appointment reminders;Wellness program with millions of members;Enterprise;10000+;https://www.discovery.co.za/vitality;Johannesburg
Momentum Multiply;Healthcare/Wellness;Appointment reminders;Wellness rewards program;Enterprise;5000+;https://www.multiply.co.za;Johannesburg
Old Mutual;Insurance;Claims follow-up;Major insurance company;Enterprise;8000+;https://www.oldmutual.co.za;Cape Town
Sanlam;Insurance;Claims follow-up;SA's largest insurance group;Enterprise;10000+;https://www.sanlam.co.za;Cape Town
Santam;Insurance;Claims follow-up;Short-term insurance leader;Enterprise;3000+;https://www.santam.co.za;Cape Town
Momentum;Insurance;Claims follow-up;Insurance and financial services;Enterprise;5000+;https://www.momentum.co.za;Pretoria
Liberty;Insurance;Claims follow-up;Insurance company;Enterprise;4000+;https://www.liberty.co.za;Johannesburg
Outsurance;Insurance;Claims follow-up;Direct insurance;Enterprise;2000+;https://www.outsurance.co.za;Johannesburg
King Price Insurance;Insurance;Claims follow-up;Disruptive insurance brand;Enterprise;1000+;https://www.kingprice.co.za;Pretoria
1Life Insurance;Insurance;Claims follow-up;Life insurance;Enterprise;800+;https://www.1life.co.za;Johannesburg
Hollard Insurance;Insurance;Claims follow-up;Insurance group;Enterprise;2000+;https://www.hollard.co.za;Johannesburg
Dimension Data;IT Services;Customer onboarding;Major IT services company;Enterprise;5000+;https://www.dimensiondata.com;Johannesburg
BCX;IT Services;Customer onboarding;IT services and solutions;Enterprise;4000+;https://www.bcx.co.za;Johannesburg
EOH;IT Services;Customer onboarding;IT services group;Enterprise;3000+;https://www.eoh.co.za;Johannesburg
Datacentrix;IT Services;Customer onboarding;IT solutions provider;Enterprise;1000+;https://www.datacentrix.co.za;Johannesburg
T-Systems SA;IT Services;Customer onboarding;IT services;Enterprise;2000+;https://www.t-systems.com/za;Johannesburg
Vodacom Business;Telecoms;Customer onboarding;Enterprise telecoms;Enterprise;5000+;https://www.vodacom.co.za/business;Johannesburg
MTN Business;Telecoms;Customer onboarding;Enterprise telecoms;Enterprise;4000+;https://www.mtn.co.za/business;Johannesburg
Telkom Business;Telecoms;Customer onboarding;Enterprise telecoms;Enterprise;3000+;https://www.telkom.co.za/business;Pretoria
Cell C Business;Telecoms;Customer onboarding;Enterprise telecoms;Enterprise;2000+;https://www.cellc.co.za/business;Johannesburg
Standard Bank;Financial Services;Customer onboarding;SA's largest bank;Enterprise;15000+;https://www.standardbank.co.za;Johannesburg
FNB;Financial Services;Customer onboarding;Major bank;Enterprise;12000+;https://www.fnb.co.za;Johannesburg
Nedbank;Financial Services;Customer onboarding;Major bank;Enterprise;10000+;https://www.nedbank.co.za;Johannesburg
Absa;Financial Services;Customer onboarding;Major bank;Enterprise;11000+;https://www.absa.co.za;Johannesburg
Capitec Bank;Financial Services;Customer onboarding;Retail bank;Enterprise;8000+;https://www.capitecbank.co.za;Stellenbosch
Investec;Financial Services;Customer onboarding;Private bank;Enterprise;3000+;https://www.investec.com/za;Johannesburg
RMB;Financial Services;Customer onboarding;Investment bank;Enterprise;2000+;https://www.rmb.co.za;Johannesburg
Discovery Bank;Financial Services;Customer onboarding;Digital bank;Enterprise;1000+;https://www.discovery.co.za/bank;Johannesburg
TymeBank;Financial Services;Customer onboarding;Digital bank;Enterprise;800+;https://www.tymebank.co.za;Johannesburg
African Bank;Financial Services;Customer onboarding;Retail bank;Enterprise;2000+;https://www.africanbank.co.za;Johannesburg
Takealot;E-commerce;Order confirmation;SA's largest e-commerce platform;Enterprise;3000+;https://www.takealot.com;Cape Town
Makro Online;E-commerce;Order confirmation;Major online retailer;Enterprise;2000+;https://www.makro.co.za;Johannesburg
Woolworths Online;E-commerce;Order confirmation;Online retail;Enterprise;1500+;https://www.woolworths.co.za;Cape Town
Pick n Pay Online;E-commerce;Order confirmation;Online grocery;Enterprise;1000+;https://www.pnp.co.za;Cape Town
Checkers Sixty60;E-commerce;Order confirmation;Online grocery delivery;Enterprise;800+;https://www.checkers.co.za;Johannesburg
Uber Eats SA;Food Delivery;Order confirmation;Food delivery platform;Enterprise;2000+;https://www.ubereats.com/za;Johannesburg
Mr D Food;Food Delivery;Order confirmation;Food delivery service;Enterprise;1500+;https://www.mrdfood.com;Johannesburg
OrderIn;Food Delivery;Order confirmation;Food delivery platform;Enterprise;500+;https://www.orderin.co.za;Cape Town
Zomato SA;Food Delivery;Order confirmation;Food delivery;Enterprise;400+;https://www.zomato.com/za;Johannesburg
